#separator:tab
#html:false
#notetype column:1
#deck column:2
Rection verbe utile	Allemand::Rection verbes	sich einigen	auf + A	se mettre d'accord sur	Die Koalition hat sich auf eine neue Klimapolitik geeinigt.
Rection verbe utile	Allemand::Rection verbes	jn. einladen	zu + D	inviter qn. à	Sie hat mich zu ihrer Geburtstagsparty eingeladen.
Rection verbe utile	Allemand::Rection verbes	sich entscheiden	für + A	se décider pour, \text{ch}oisir	Ich habe mich für ein Studium in Zürich entschieden
Rection verbe utile	Allemand::Rection verbes	sich entschuldigen	bei + D / für + A	s'excuser auprès de qn.	Er hat sich bei seiner Kollegin für seine Verspätung entschuldigt
Rection verbe utile	Allemand::Rection verbes	sich ergeben	aus + D	résulter de	Aus meinen Forschungen ergibt sich, dass Chamäleons äußerst sprachbegabt \text{sin}d
Rection verbe utile	Allemand::Rection verbes	sich erholen	von + D	se reposer, se remettre de	Hast du dich vom Prüfungsstress erholt?
Rection verbe utile	Allemand::Rection verbes	sich erinnern	an + A	se souvenir de	Erinnerst du dich noch an unseren gemeinsamen Tauchurlaub?
Rection verbe utile	Allemand::Rection verbes	jn. erinnern	an + A	rappeler qch. à qn.	Darf ich Sie daran erinnern, dass Sie Ihre Miete noch nicht bezahlt haben?
Rection verbe utile	Allemand::Rection verbes	sich erkundigen	bei/nach + D	se renseigner sur qch. auprès de qn.	Ich habe mich bei einem Fußgänger nach dem Weg erkundigt.
Rection verbe utile	Allemand::Rection verbes	erzählen	von + D	parler de, raconter	Erzähl mir doch von deiner Reise!
Rection verbe utile	Allemand::Rection verbes	folgen	auf + A	suivre, succéder à	Auf das Konzert folgte ein kleiner Empfang.
Rection verbe utile	Allemand::Rection verbes	folgen	aus + D	résulter, s'ensuivre	Daraus folgt, dass ich Recht habe.
Rection verbe utile	Allemand::Rection verbes	jn. fragen	nach + D	demander qch. à qn. (information)	Frag doch den Mann dort nach der Uhrzeit!
Rection verbe utile	Allemand::Rection verbes	sich freuen	auf + A	se réjouir à l'idée de	Ich freue mich auf meinen nächsten Urlaub.
Rection verbe utile	Allemand::Rection verbes	sich freuen	für + A	être content pour	Ich freue mich für dich.
Rection verbe utile	Allemand::Rection verbes	sich freuen	über + A	se réjouir de	Ich habe mich sehr über die Blumen gefreut.
Rection verbe utile	Allemand::Rection verbes	fürchten	um + A	être inquiet pour	Er fürchtet um seine Stellung in der Firma.
Rection verbe utile	Allemand::Rection verbes	sich fürchten	vor + D	craindre, avoir peur de	Er fürchtet sich vor Schlangen.
Rection verbe utile	Allemand::Rection verbes	gehen	um + A	s'agir de	In diesem Text geht um deutsche Geschichte
Rection verbe utile	Allemand::Rection verbes	gehören	zu + D	faire partie de, relever de	Dies gehört nicht zu meinem Arbeitsbereich
Rection verbe utile	Allemand::Rection verbes	sich gewöhnen	an + A	s'habituer à	Ich hatte grosse Schwierigkeiten, mich an das Großstadtleben zu gewöhnen
Rection verbe utile	Allemand::Rection verbes	glauben	an + A	croire en, dans	Er glaubt an Gott und an den Menschen
Rection verbe utile	Allemand::Rection verbes	jm. gratulieren	zu + D	féliciter qn. à l'occasion de, pour qch.	Ich gratuliere dir zum Geburtstag.
Rection verbe utile	Allemand::Rection verbes	sich halten	an + A	s'en tenir à, respecter	Er hält sich streng an die Vorschriften.
Rection verbe utile	Allemand::Rection verbes	jn. halten	für + A	considérer comme	Er hält sich für ein Genie.
Rection verbe utile	Allemand::Rection verbes	etwas halten	von + D	penser qch. de	Was hältst du von diesem Projekt?
Rection verbe utile	Allemand::Rection verbes	sich handeln	um + A	s'agir de	Es handelt sich um einen interessanten Vorschlag.
Rection verbe utile	Allemand::Rection verbes	handeln	von + D	traiter d'un sujet	Das Theaterstück handelt von der Globalisierung.
Rection verbe utile	Allemand::Rection verbes	jn. hindern	an + D	Empêcher qn. de	Man hat ihn an der Einreise gehindert.
Rection verbe utile	Allemand::Rection verbes	jn. hinweisen	auf + A	renvoyer à, rappeler qch. à qn.	Darf ich Sie darauf hinweisen, dass Rauchen hier verboten ist.
Rection verbe utile	Allemand::Rection verbes	hoffen	auf + A	espérer	Er hofft auf eine Gehaltserhöhung
Rection verbe utile	Allemand::Rection verbes	hören	von + D	entendre parler de, avoir des nouvelles de	Ich habe von dieser Theorie noch nie etwas gehört.
Rection verbe utile	Allemand::Rection verbes	sich interessieren	für + A	s'intéresser à	Sie interessieren sich sehr für Fußball.
Rection verbe utile	Allemand::Rection verbes	kämpfen	für + A	se battre pour	Im Sezessionskrieg kämpfte der Norde, für die Abschaffung der Sklaverei.
Rection verbe utile	Allemand::Rection verbes	kämpfen	gegen + A	lutter contre	Seit langem versuchen die Ärtze gegen Aids zu kämpfen.
Rection verbe utile	Allemand::Rection verbes	kämpfen	um + A	rivaliser au sujet de, se battre pour	Die beiden Konzerne kämpfen um ihre Marktanteile.
Rection verbe utile	Allemand::Rection verbes	klagen	über + A	se plaindre de	Sie klagt oft über Kopfschmerzen.
Rection verbe utile	Allemand::Rection verbes	sich konzentrieren	auf + A	se concentrer sur	Er konzentriert sich auf seine Arbeit.
Rection verbe utile	Allemand::Rection verbes	sich kümmern	um + A	s'occuper de	Die Kinder kümmern sich um ihr Chamäleon.
Rection verbe utile	Allemand::Rection verbes	lachen	über + A	rire de	Er lacht oft über meine Witze.
Rection verbe utile	Allemand::Rection verbes	leiden	an + D	souffrir d'une maladie	Sie leidet an Heuschnupfen.
Rection verbe utile	Allemand::Rection verbes	leiden	unter + D	souffrir de (contexte)	Die Kinder leiden unter der Scheidung ihrer Eltern.
Rection verbe utile	Allemand::Rection verbes	mangeln	an + A	manquer de	Es mangelt ihnen an beruflicher Erfahrung.
Rection verbe utile	Allemand::Rection verbes	nachdenken	über + A	réfléchir à	Ich muss über Ihr Angebot nachdenken.
Rection verbe utile	Allemand::Rection verbes	passen	zu + D	aller bien avec	Die rosa Bluse passt gut zu dem lila Rock.
Rection verbe utile	Allemand::Rection verbes	protestieren	gegen + A	protester contre	Die studenten haben gegen die Studienreform protestiert.
Rection verbe utile	Allemand::Rection verbes	reagieren	auf + A	réagir à	Auf Stress reagieren Chamäleons mit Farbwechsel.
Rection verbe utile	Allemand::Rection verbes	rechnen	mit + D	s'attendre à	Er rechnete nicht mit seiner Kündigung.
Rection verbe utile	Allemand::Rection verbes	sich richten	nach + D	s'adapter à, faire en fonction de	Ich richte mich ganz nach dir.
Rection verbe utile	Allemand::Rection verbes	riechen	nach + D	sentir (odeur)	Es riecht nach Käse.
Rection verbe utile	Allemand::Rection verbes	schließen	aus + D	conclure, déduire de	Ich schließe aus seiner Bemerkung, dass er nicht Bescheid weiß.
Rection verbe utile	Allemand::Rection verbes	schmecken	nach + D	avoir le goût de	Der Wein schmeckt nach Johannisbeeren.
Rection verbe utile	Allemand::Rection verbes	schreiben	an + A	écrire à qn.	Du musst an den Anwalt schreiben!
Rection verbe utile	Allemand::Rection verbes	schreiben	über + A	écrire au sujet de	Der Journalist schreibt über schweizerische Underground-Kultur.
Rection verbe utile	Allemand::Rection verbes	(sich) schützen	vor + A	(se) protéger contre	Du musst dich (das Kind) vor Insektenstichen schützen.
Rection verbe utile	Allemand::Rection verbes	(sich) schützen	gegen + A	(se) protéger contre	Diese Creme schützt gegen Sonnenbrand.
Rection verbe utile	Allemand::Rection verbes	sorgen	für + A	prendre soin de	Die Familie sorgt für die alte Großmutter.
Rection verbe utile	Allemand::Rection verbes	sich sorgen	um + A	se soucier de	Sie sorgt sich um Ihre Gesundheit.
Rection verbe utile	Allemand::Rection verbes	sprechen	mit + D/über + A	parler avec qn. de qch., discuter	Der Chef sprach mit ihm über seine Zukunftspläne.
Rection verbe utile	Allemand::Rection verbes	sprechen	von + D	parler de	Wovon sprichst du eigentlich?
Rection verbe utile	Allemand::Rection verbes	stammen	aus + D	être originaire de, issu de	Der Student stammt aus Leipzig.
Rection verbe utile	Allemand::Rection verbes	stehen	auf + A	être fana de qch	Ich stehe auf Chamäleons.
Rection verbe utile	Allemand::Rection verbes	sterben	an + D	mourir de	Meine Urgroßmutter ist an Tuberkulose gestorben.
Rection verbe utile	Allemand::Rection verbes	(sich) streiten	mit + D	se disputer avec qn.	Sie streitet sich immer mit ihrem Bruder.
Rection verbe utile	Allemand::Rection verbes	streiten	über + A	se disputer au sujet de qch.	Die Kollegen streiten immer über Politik.
Rection verbe utile	Allemand::Rection verbes	(sich) streiten	um + A	se disputer qch.	Die Geschwister streiten sich oft um die Spielsachen.
Rection verbe utile	Allemand::Rection verbes	sich stützen	auf + A	s'appuyer sur	Wir stützen uns auf die Theorien von Keynes.
Rection verbe utile	Allemand::Rection verbes	teilnehmen	an + D	participer à	Der Ingenieur hat an einem internationalen Kongress teilgenommen.
Rection verbe utile	Allemand::Rection verbes	telefonieren	mit + D	parler au téléphone avec	Wir haben lange miteinander telefoniert.
Rection verbe utile	Allemand::Rection verbes	träumen	von + D	rêver de	Wir träumen von einer Reise nach Alaska.
Rection verbe utile	Allemand::Rection verbes	jn. überreden	zu + D	persuader qn. de	Seine Eltern haben ihn zu dieser Heirat überredet.
Rection verbe utile	Allemand::Rection verbes	jn. überzeugen	von + D	convaincre qn. de	Beim Vorstellungsgespräch hat er uns von seinen Fähigkeiten überzeugt.
Rection verbe utile	Allemand::Rection verbes	sich unterhalten	über + A	discuter de	Er hat sich mit mir über den letzten Film von Christian Petzold unterhalten.
Rection verbe utile	Allemand::Rection verbes	sich verabreden	mit + D	prendre rendez-vous avec qn.	Er hat sich mit seiner Ex um acht Uhr verabredet.
Rection verbe utile	Allemand::Rection verbes	sich verabschieden	von + D	prendre congé de, dire au revoir à	Wir müssen uns noch von Oma verabschiden!
Rection verbe utile	Allemand::Rection verbes	jn. veranlassen	zu + D	amener qn. à	Was hat ihn wohl zu diesem Schritt veranlasst?
Rection verbe utile	Allemand::Rection verbes	verfügen	über + A	disposer de	Sie können frei über Ihre Zeit verfügen.
Rection verbe utile	Allemand::Rection verbes	sich verlassen	auf + A	compter sur	Man kann sich wirklich auf Sie verlassen.
Rection verbe utile	Allemand::Rection verbes	sich verlieben	in + A	tomber amoureux	Ben hat sich in anna verliebt.
Rection verbe utile	Allemand::Rection verbes	sich verstehen	mit + D	(bien) s'entendre avec qn.	Sie versteht sich gut mit ihrer Nachbarin.
Rection verbe utile	Allemand::Rection verbes	etwas verstehen	unter + D	entendre par	Was verstehen Sie unter Demokratie?
Rection verbe utile	Allemand::Rection verbes	etwas verstehen	von + D	s'y connaître	Er versteht viel vom Kochen.
Rection verbe utile	Allemand::Rection verbes	jn. verurteilen	zu + D	condamner qn. à	Der Angeklagte wurde zu einer 10-jährigen Gefängnisstrafe verurteilt.
Rection verbe utile	Allemand::Rection verbes	verzichten	auf + A	renoncer à	Pazifisten verzichten auf die Anwendung von Gewalt.
Rection verbe utile	Allemand::Rection verbes	sich vorbereiten	auf + A	se préparer à	Die Schüler haben sich gut auf das Abitur vorbereitet.
Rection verbe utile	Allemand::Rection verbes	wählen	zu + D	élire au poste de	Er wurde zum Präsidenten gewählt.
Rection verbe utile	Allemand::Rection verbes	warnen	vor + D	mettre en garde contre	Die Polizei warnte vor Taschendieben.
Rection verbe utile	Allemand::Rection verbes	warten	auf + A	attendre qch.	Wir warten seit einer Woche auf deinen Brief.
Rection verbe utile	Allemand::Rection verbes	sich wehren	gegen + A	se défendre contre	Sie wehrte sich gegen die Vorwürfe ihrer Eltern.
Rection verbe utile	Allemand::Rection verbes	sich wenden	an + A	s'adresser à, se tourner vers	Wenden Sie sich bitte an die Direktion.
Rection verbe utile	Allemand::Rection verbes	sich wundern	über + A	s'étonner de, s'interroger sur	Ich wundere mich über seinen Erfolg.
Rection verbe utile	Allemand::Rection verbes	zählen	auf + A	compter sur qn.	Man kann immer auf ihn zählen.
Rection verbe utile	Allemand::Rection verbes	zählen	zu + D	compter parmi, faire partie de	Er zählt zu den besten Jazz-Musikern der 90er Jahre.
Rection verbe utile	Allemand::Rection verbes	zurückkommen	auf + A	revenir sur qch.	Ich möchte auf Ihre Bemerkung zurückkommen.
Rection verbe utile	Allemand::Rection verbes	zweifeln	an + D	douter de	Ich zweifle an ihrer Aufrichtigkeit.
Rection verbe utile	Allemand::Rection verbes	zwingen	zu + D	obliger, contraindre à	Die Eltern hatten ihn dazu gezwungen, sein Studium zu beenden.
Rection verbe utile	Allemand::Rection verbes	aussteigen	aus + D	Abandonner, sortir de qch.	Deutschland steigt aus der Atomenergie aus.
Rection verbe utile	Allemand::Rection verbes	pochen	auf + A	réclamer qch.	Die Grünen pochen auf einen schnelleren Ausstieg aus der Atomenergie.
Rection verbe utile	Allemand::Rection verbes	einhergehen	mit + D	S'accompagner de	Die ausgangssperre geht mit dem Homeoffice einher.
Rection verbe utile	Allemand::Rection verbes	sich erweisen	als + A	se révéler être	Kapitalismus erweist sich als gewalttätiger als Kommunismus.
